T,Fi0,Hs,Occ
11.08,-54,0.5,0.05084
11.08,-54,1.5,17.6984
11.08,-54,2.5,7.24969
11.08,-54,3.5,0.13982
11.08,-18,0.5,0.05084
11.08,-18,1.5,17.6984
11.08,-18,2.5,7.24969
11.08,-18,3.5,0.13982
11.08,18,0.5,0.05084
11.08,18,1.5,17.6984
11.08,18,2.5,7.24969
11.08,18,3.5,0.13982
13.31,-18,0.5,0.038134
13.31,-18,1.5,18.73649
13.31,-18,2.5,28.01999
13.31,-18,3.5,3.152409
13.31,-18,4.5,0.012711
13.31,18,0.5,0.038134
13.31,18,1.5,18.73649
13.31,18,2.5,28.01999
13.31,18,3.5,3.152409
13.31,18,4.5,0.012711
13.31,54,0.5,0.038134
13.31,54,1.5,18.73649
13.31,54,2.5,28.01999
13.31,54,3.5,3.152409
13.31,54,4.5,0.012711
13.31,90,0.5,0.038134
13.31,90,1.5,18.73649
13.31,90,2.5,28.01999
13.31,90,3.5,3.152409
13.31,90,4.5,0.012711
15.83,-18,0.5,0.016948
15.83,-18,1.5,6.321766
15.83,-18,2.5,14.054489
15.83,-18,3.5,4.122707
15.83,-18,4.5,0.385577
15.83,18,0.5,0.016948
15.83,18,1.5,6.321766
15.83,18,2.5,14.05448
15.83,18,3.5,4.122707
15.83,18,4.5,0.385577
15.83,54,0.5,0.016948
15.83,54,1.5,6.321766
15.83,54,2.5,14.05448
15.83,54,3.5,4.122707
15.83,54,4.5,0.385577
15.83,90,0.5,0.016948
15.83,90,1.5,6.321766
15.83,90,2.5,14.05448
15.83,90,3.5,4.122707
15.83,90,4.5,0.385577
